mil pop,unemployment %,mean income,median income,vacant housing units,rental vacany rate,% below poverty line,median house value,NAME,state,county,county_name,state_name
0.0,5.2,55331.0,36633.0,685.0,13.4,17.5,73300.0,"Childress County, Texas",48,075,Childress County, Texas
145.0,4.9,87073.0,65833.0,6337.0,6.5,6.5,214400.0,"Comal County, Texas",48,091,Comal County, Texas
19.0,6.4,47040.0,32698.0,3497.0,7.0,18.3,76500.0,"Houston County, Texas",48,225,Houston County, Texas
27.0,10.9,56391.0,41505.0,2954.0,4.0,15.9,81300.0,"Navarro County, Texas",48,349,Navarro County, Texas
0.0,3.3,72091.0,56842.0,1305.0,13.4,8.0,89100.0,"Scurry County, Texas",48,415,Scurry County, Texas
0.0,6.9,54420.0,42155.0,337.0,9.2,13.8,49700.0,"Stonewall County, Texas",48,433,Stonewall County, Texas
30.0,9.8,71367.0,54821.0,4068.0,11.6,10.1,129500.0,"Bastrop County, Texas",48,021,Bastrop County, Texas
0.0,7.0,58242.0,42302.0,1889.0,6.7,19.4,72900.0,"Bee County, Texas",48,025,Bee County, Texas
0.0,5.2,69510.0,58333.0,110.0,7.6,13.7,75900.0,"Crane County, Texas",48,103,Crane County, Texas
82.0,6.6,63059.0,49372.0,8283.0,7.6,7.9,178500.0,"Rutland County, Vermont",50,021,Rutland County, Vermont
4.0,4.5,65715.0,53869.0,2741.0,4.0,8.3,189400.0,"Orange County, Vermont",50,017,Orange County, Vermont
0.0,5.1,73119.0,52965.0,9625.0,6.1,6.7,216300.0,"Windsor County, Vermont",50,027,Windsor County, Vermont
0.0,24.0,25919.0,19141.0,2845.0,6.4,43.5,117700.0,"Juncos Municipio, Puerto Rico",72,077,Juncos Municipio, Puerto Rico
0.0,36.5,19762.0,10499.0,1372.0,2.7,60.2,103000.0,"Adjuntas Municipio, Puerto Rico",72,001,Adjuntas Municipio, Puerto Rico
8.0,22.6,27020.0,20598.0,1141.0,7.5,31.3,106900.0,"Hormigueros Municipio, Puerto Rico",72,067,Hormigueros Municipio, Puerto Rico
0.0,21.9,26713.0,17423.0,2044.0,11.7,47.4,103300.0,"Naranjito Municipio, Puerto Rico",72,105,Naranjito Municipio, Puerto Rico
20.0,17.7,24414.0,16485.0,9185.0,7.5,45.7,99800.0,"Arecibo Municipio, Puerto Rico",72,013,Arecibo Municipio, Puerto Rico
0.0,15.7,20157.0,14994.0,548.0,5.2,50.7,91300.0,"Florida Municipio, Puerto Rico",72,054,Florida Municipio, Puerto Rico
18.0,23.0,21087.0,14427.0,3404.0,7.7,51.5,99500.0,"Moca Municipio, Puerto Rico",72,099,Moca Municipio, Puerto Rico
58.0,12.1,21660.0,15240.0,2943.0,5.0,51.7,85500.0,"Salinas Municipio, Puerto Rico",72,123,Salinas Municipio, Puerto Rico
25.0,27.1,21987.0,14708.0,6698.0,22.6,49.7,92700.0,"Yauco Municipio, Puerto Rico",72,153,Yauco Municipio, Puerto Rico
0.0,11.8,25404.0,16499.0,12546.0,2.8,45.8,115000.0,"Cabo Rojo Municipio, Puerto Rico",72,023,Cabo Rojo Municipio, Puerto Rico
0.0,4.6,18192.0,13944.0,761.0,2.4,48.6,80200.0,"Las Marías Municipio, Puerto Rico",72,083,Las Marías Municipio, Puerto Rico
25.0,25.9,24465.0,17818.0,1172.0,4.6,49.5,95800.0,"Villalba Municipio, Puerto Rico",72,149,Villalba Municipio, Puerto Rico
27.0,25.1,23220.0,16029.0,4288.0,13.0,49.7,90000.0,"Aguada Municipio, Puerto Rico",72,003,Aguada Municipio, Puerto Rico
37.0,13.7,33271.0,23315.0,2423.0,7.2,37.3,118200.0,"Cidra Municipio, Puerto Rico",72,041,Cidra Municipio, Puerto Rico
0.0,28.5,27777.0,18170.0,3683.0,6.4,43.1,111000.0,"Luquillo Municipio, Puerto Rico",72,089,Luquillo Municipio, Puerto Rico
0.0,31.2,18878.0,14110.0,1628.0,4.8,55.5,107600.0,"Orocovis Municipio, Puerto Rico",72,107,Orocovis Municipio, Puerto Rico
0.0,9.9,46571.0,34295.0,3408.0,4.1,13.3,81000.0,"Trinity County, Texas",48,455,Trinity County, Texas
2.0,4.8,63522.0,49863.0,3300.0,8.1,6.7,146100.0,"Bandera County, Texas",48,019,Bandera County, Texas
1.0,12.2,27334.0,20702.0,2869.0,10.9,41.0,97300.0,"Ceiba Municipio, Puerto Rico",72,037,Ceiba Municipio, Puerto Rico
0.0,20.3,22265.0,15707.0,5097.0,6.6,51.7,109000.0,"Isabela Municipio, Puerto Rico",72,071,Isabela Municipio, Puerto Rico
39.0,22.5,27305.0,18838.0,2732.0,4.8,44.4,114800.0,"Las Piedras Municipio, Puerto Rico",72,085,Las Piedras Municipio, Puerto Rico
0.0,21.7,28462.0,18016.0,3512.0,7.0,45.8,122200.0,"Vega Alta Municipio, Puerto Rico",72,143,Vega Alta Municipio, Puerto Rico
12.0,6.9,57078.0,44587.0,8385.0,5.2,9.0,98800.0,"Somerset County, Pennsylvania",42,111,Somerset County, Pennsylvania
0.0,10.2,42811.0,35097.0,1296.0,10.4,13.4,89200.0,"Madison County, Missouri",29,123,Madison County, Missouri
0.0,5.4,51303.0,40693.0,1437.0,9.8,11.7,90800.0,"Vernon County, Missouri",29,217,Vernon County, Missouri
32.0,7.2,47504.0,35854.0,955.0,3.0,14.6,114500.0,"Nodaway County, Missouri",29,147,Nodaway County, Missouri
0.0,3.8,52222.0,40642.0,1206.0,4.9,11.2,75400.0,"Chariton County, Missouri",29,041,Chariton County, Missouri
0.0,9.5,44469.0,33750.0,2548.0,4.5,14.7,70000.0,"Wayne County, Missouri",29,223,Wayne County, Missouri
